Company Name,State,Hospital Name,Asset No.,Asset Type Code,Asset Type Description,Manufacturer,Model,Serial No,User Department Code,User Department Name,User Area Code,User Area Name,User Location Code,User Location Name,Asset Status,Real Time Status,POC Flag,Power Supply (PSU) - Cleaning,Fan & Filter Check&Clean,Battery Check,Wire Rope Check,Railing (longitude & Transverse),QA Sticker Validity,Telescopic Arm ,Pulley,Guard Filter Check,Meter Gauge Check,Light Indicator Check,Water Pump Check,Total Maintenance Activity
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000081,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,180160579,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000109,12-647,"Physiologic Monitoring Systems, Acute Care",Philips Medizinsysteme Boeblingen Gmbh,Intellivue Mx430,DE54804586,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,Yes,1,No,1,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000111,12-647,"Physiologic Monitoring Systems, Acute Care",Philips Medizinsysteme Boeblingen Gmbh,Intellivue Mx430,DE54803976,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,Yes,1,No,1,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000112,12-647,"Physiologic Monitoring Systems, Acute Care",Philips Medizinsysteme Boeblingen Gmbh,Intellivue Mx430,DE54804587,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,Yes,1,No,1,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000113,18-098,"Ventilators, Transport",Smith Medical International Ltd,Parapac P310,1805136,I02,In-patient Care Services,W5C,Wad 5c,01-5-055,W5C - BILIK RAWATAN,Active,Functioning,Yes,1,1,1,No,No,No,No,No,No,No,No,No,3
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000114,18-098,"Ventilators, Transport",Smith Medical International Ltd,Parapac P310,1805137,I02,In-patient Care Services,W5C,Wad 5c,01-5-055,W5C - BILIK RAWATAN,Active,Functioning,Yes,1,1,1,No,No,No,No,No,No,No,No,No,3
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000115,18-098,"Ventilators, Transport",Smith Medical International Ltd,Parapac P310,1805138,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,Yes,1,1,1,No,No,No,No,No,No,No,No,No,3
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000156,17-422,"Scanning Systems, Ultrasonic, Cardiac",Siemens Medical Solutions USA Inc,Acuson NX3 Elite,503481,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00001,12-815,Ophthalmoscopes,Cw Medical Inc,Cw Ec023,11106,O03,Ophtamology,EYE,Jabatan Mata,25-01-072,EYE - ROOM 5,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00002,14-361,"Ventilators, Intensive Care, Neonatal/Pediatric",Sechrist Industries Inc,Sechrist Iv-100b,10386  (A4),P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-026,Ruang Rawatan,Inactive,Not Functioning,Yes,1,1,1,No,No,No,No,No,No,No,No,No,3
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00003,12-345,"Light Sources, Fiberoptic",Karl Storz Gmbh,Storz 488d,2695,A06,Anesthesiology,OTR,Dewan Bedah,01-3-050,OTR - DEWAN BEDAH NO 2,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00004,11-422,"Electrocautery Units, Line-Powered",Kirwan Surgical Products Inc,Kirwan 26-1500,2016,O03,Ophtamology,EOT,Eye Operation Theater,01-4-044,EOT - BILIK BEDAH,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00005,12-113,"Incubators, Infant",Atom Medical Corp,Atom V-80,9129097,P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-035,PANTRI,Inactive,Not Functioning,Yes,1,1,No,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00008,12-113,"Incubators, Infant",Air-Shield Vickers,Isolette C450h-1e,WR008623,I02,In-patient Care Services,W5D,Wad 5d,01-5-045,W5D - BILIK RAWATAN,Inactive,Functioning,Yes,1,1,No,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00009,16-173,"Sphygmomanometers, Electronic, Automatic",Critikon Corp,Dinamap 8100,8101H6348,I02,In-patient Care Services,W8D,Wad 8d,01-8-014,W8D - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00010,18-230,"Electrosurgical Units, Bipolar",Sinmed Technologies Pte Ltd,Sinmed Genie,10031,D02,Dermatology,SKN,Jabatan Kulit,25-02-045,SKN - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00011,13-217,"Infusion Pumps, Syringe",B Braun Melsungen AG,Perfusor Secura Ft,42930,I02,In-patient Care Services,W6B,Wad 6b,01-6-054,W6B - WAD 6B,Inactive,Not Functioning,Yes,No,No,1,No,No,No,No,No,No,No,No,No,1
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00012,16-173,"Sphygmomanometers, Electronic, Automatic",Critikon Corp,Dinamap 8100,8101H6297,P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-026,Ruang Rawatan,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00013,15-156,"Microscopes, Light, Laboratory",Olympus Medical System Corp,Olympus Ch/Cha,990105,D02,Dermatology,SKN,Jabatan Kulit,01-G-253,SKN - PEG.PERUBATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00014,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,A2V001A24,I02,In-patient Care Services,W6A,Wad 6a,01-6-013,W6A - KAUNTER JURURAWAT,Inactive,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00015,14-361,"Ventilators, Intensive Care, Neonatal/Pediatric",Sechrist Industries Inc,Sechrist Iv-100b,9682  (A3),P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-026,Ruang Rawatan,Inactive,Not Functioning,Yes,1,1,1,No,No,No,No,No,No,No,No,No,3
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00016,15-156,"Microscopes, Light, Laboratory",Olympus Medical System Corp,Olympus Ch2,Not Available,D02,Dermatology,SKN,Jabatan Kulit,25-02-045,SKN - BILIK RAWATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00017,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,RO40A26,I02,In-patient Care Services,W6B,Wad 6b,01-6-057,W6B - KAUNTER JURURAWAT,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00018,16-173,"Sphygmomanometers, Electronic, Automatic",Invivo Research Inc,Invivo Omega 1400,OM4E01536,I02,In-patient Care Services,W5D,Wad 5d,01-5-045,W5D - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00019,18-231,"Electrosurgical Units, Monopolar/Bipolar",Ellman International Inc,Surgitron Ffpf,163738,G01,General Medicine,ONG,Klinik Obstetrik & Ginekologi,25-G-093,ONG - BILIK PROSEDUR,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00020,12-647,"Physiologic Monitoring Systems, Acute Care",Spacelabs Healthcare Inc,Spacelabs 90308,430-106442,I02,In-patient Care Services,W7A,Wad 7a,01-7-005,W7A - WAD 7A,Inactive,Not Functioning,Yes,1,No,1,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00021,13-217,"Infusion Pumps, Syringe",Terumo Corp,Terufusion STC-523,92090046,P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-040,BILIK PEMULIHAN /JAGAAN IBU(2),Inactive,Not Functioning,Yes,No,No,1,No,No,No,No,No,No,No,No,No,1
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00022,10-792,"Chairs, Examination/Treatment, Dentistry",Siemens Medical Systems Inc,Sirona M1(Tr),D3196/D3171,D01,Dental,DEN,Jabatan Pergigian,25-01-036,DEN - STORE ROOM,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00023,15-156,"Microscopes, Light, Laboratory",Olympus Medical System Corp,Olympus E,330501,P02,Pathology,LAB,Jabatan Patologi,01-G-080,LAB - MAKMAL,Inactive,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00024,10-551,"Cameras, Fundus",Topcon Corp,Topcon Trc-50x,961324/350750,O03,Ophtamology,EYE,Jabatan Mata,01-1-083,EYE - BILIK OPTOMETRI,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00025,16-885,"Radiographic/Fluoroscopic Systems, General-Purpose",Toshiba Medical Manufacturing Co Ltd,Toshiba Xt-6-11 C-Arm,Not Available,A06,Anesthesiology,OTR,Dewan Bedah,01-3-057,OTR - STOR,Inactive,Not Functioning,Yes,1,No,No,No,No,1,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00026,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,ZT158A00,A01,Accident & Emergency,ANE,Jabatan Kecemasan,01-G-206,ANE-PEMERIKSAAN/RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00027,13-217,"Infusion Pumps, Syringe",Terumo Corp,Terufusion STC-523,92030150,P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-040,BILIK PEMULIHAN /JAGAAN IBU(2),Inactive,Not Functioning,Yes,No,No,1,No,No,No,No,No,No,No,No,No,1
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00028,11-246,"Radiofrequency Therapy Systems, Diathermy",Enraf-Nonius BV,Curapuls 419,17114,P05,Physiotherapy,PHY,Fisioterapi,01-G-074,PHY - GIMNASIUM,Inactive,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00029,10-208,Aspirators,Clements Medical Equipment Pty Ltd,Clements High Suction Unit,815008266,E01,"Ear, Nose and Throat",ENT,"Jab.hidung,keronkong&telinga",01-1-105,ENT - DEWAN BEDAH,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00030,12-599,ECG Monitors,Kontron Instruments Ltd,Minimon 7137b,1918,O03,Ophtamology,EOT,Eye Operation Theater,01-4-042,EOT - BILIK REHAT,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00031,11-246,"Radiofrequency Therapy Systems, Diathermy",Siemens Medical Systems Inc,Ultratherm 608,60818181,P05,Physiotherapy,PHY,Fisioterapi,01-G-074,PHY - GIMNASIUM,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00033,12-282,"Lights, Surgical",Yamada Shadowless Lamp Co Ltd,Skylux Ace 1,8803,O04,Orthopedic,OTO,Dewan Bedah Otopedik,01-4-054,OTO - DEWAN BEDAH 2,Inactive,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00034,10-780,"Centrifuges, Tabletop",Hettich-Zentrifugen Gmbh,Hettich-Zentrifugen D7200,14011,L01,Laboratory,BLB,Tabung Darah,01-G-138,BLB - BILIK 5,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00036,15-574,Metal Detectors,Hamblin Instruments Ltd,Hamblin,97646,O03,Ophtamology,EOT,Eye Operation Theater,01-4-044,EOT - BILIK BEDAH,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00037,17-174,"Radiographic Systems, Film",Philips Medical Systems,Super 50 Cp,873305/02,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-149,DEX - X-RAY 1,Inactive,Not Functioning,Yes,No,No,No,No,1,1,1,1,No,No,No,No,4
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00038,17-174,"Radiographic Systems, Film",Philips Medical Systems,Super 50 Cp,923398,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-143,DEX - X-RAY 3,Inactive,Not Functioning,Yes,No,No,No,No,1,1,1,1,No,No,No,No,4
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00039,12-282,"Lights, Surgical",Yamada Shadowless Lamp Co Ltd,Skylux Ace 1,8602,O03,Ophtamology,EOT,Eye Operation Theater,01-4-044,EOT - BILIK BEDAH,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00040,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,N011A52,I02,In-patient Care Services,W3B,Wad 3b,01-3-071,W3B - BILIK RAWATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00041,13-775,"Stimulators, Electrical, Neuromuscular",Siemens Medical Systems Inc,Neuroton 626,62601723,P05,Physiotherapy,PHY,Fisioterapi,01-G-074,PHY - GIMNASIUM,Inactive,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00042,11-067,"Cryosurgical Units, General-Purpose",Erbe Elektromedizin GmbH,Erbokryo Ae,1073100A,O03,Ophtamology,EOT,Eye Operation Theater,01-4-044,EOT - BILIK BEDAH,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00043,13-272,"Radiographic Units, Mobile",Siemens Medical Systems Inc,Mobilett B,01110 S11,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-159,DEX - STOR,Inactive,Not Functioning,Yes,1,1,1,1,No,1,No,No,No,No,No,No,5
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00044,12-282,"Lights, Surgical",Welch Allyn Inc,Welch Allyn 48626,2345,G01,General Medicine,ONG,Klinik Obstetrik & Ginekologi,01-G-056,Bilik 3,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00045,12-282,"Lights, Surgical",Welch Allyn Inc,Welch Allyn 482000,190,O03,Ophtamology,EOT,Eye Operation Theater,01-4-044,EOT - BILIK BEDAH,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00047,12-113,"Incubators, Infant",Atom Medical Corp,Atom V-55,8922,P01,Pediatric,NICU,Neonatal Intensive Care Unit,01-6-029,BILIK PEMULIHAN JAGAAN IBU(1),Inactive,Not Functioning,Yes,1,1,No,No,No,No,No,No,No,No,No,No,2
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00049,15-117,"Centrifuges, Floor, Low-Speed, Refrigerated",Beckman Coulter Inc,Beckman J6b,6929,L01,Laboratory,BLB,Tabung Darah,01-G-138,BLB - BILIK 5,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00050,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,ZU000B95,A01,Accident & Emergency,ANE,Jabatan Kecemasan,01-G-206,ANE-PEMERIKSAAN/RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00051,10-208,Aspirators,Eschmann Brothers & Walsh Ltd,Matburn Tj 20,E927,G02,General Surgery,SPD,Klinik Pakar Pembedahan,01-G-036,SOPD - BILIK ENDOSCOPE,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00052,10-208,Aspirators,Clements Medical Equipment Pty Ltd,Clements Suc 84100,06-94-3031,I02,In-patient Care Services,W6B,Wad 6b,01-6-054,W6B - WAD 6B,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00053,12-278,"Lights, Infrared",Air-Shields Inc,Air Shield Pm781e,TG15451,P01,Pediatric,WCSCN,Wad Scn,1-NC-43A,Equipment Room,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00054,10-208,Aspirators,Eschmann Brothers & Walsh Ltd,Matburn Tj 20,4357,O01,Obstetric & Gynecology,WCLOT,Ldc - Dewan Bedah Bersalin,G-LD-102,Equipment Supplies,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00055,10-208,Aspirators,Clements Medical Equipment Pty Ltd,Clements High Suction Unit,1512695,I02,In-patient Care Services,W6B,Wad 6b,01-6-054,W6B - WAD 6B,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00057,11-413,"Electrocardiographs, Single-Channel",Siemens Medical Systems Inc,Cardiostat 1,16081436,I02,In-patient Care Services,W7C,Wad 7c,01-7-057,W7C - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00058,11-226,Peritoneal Dialysis Units,Baxter Healthcare Corp,Pac-Xtra 5c4405,82627,I02,In-patient Care Services,W6B,Wad 6b,01-6-054,W6B - WAD 6B,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00059,11-413,"Electrocardiographs, Single-Channel",Suzuken Co Ltd,Kenz-Ecg 106,40865700,I02,In-patient Care Services,W7B,Wad 7b,01-7-073,W7B - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00060,10-208,Aspirators,Datex-Ohmeda Ltd,Ohmeda,Not Available,I02,In-patient Care Services,W7B,Wad 7b,01-7-073,W7B - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00061,10-208,Aspirators,Aesculap Ag & Co Kg,Aesculap Gf24/Gf34,633974,I02,In-patient Care Services,W6B,Wad 6b,01-6-054,W6B - WAD 6B,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00062,11-413,"Electrocardiographs, Single-Channel",Suzuken Co Ltd,Kenz-Cardico 103,89034473,I02,In-patient Care Services,W7B,Wad 7b,01-7-073,W7B - BILIK RAWATAN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00063,10-208,Aspirators,Eschmann Brothers & Walsh Ltd,Matburn Tj 20,4524,E01,"Ear, Nose and Throat",ENT,"Jab.hidung,keronkong&telinga",01-1-097,ENT - BILIK (A)DOKTOR,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00064,11-413,"Electrocardiographs, Single-Channel",Suzuken Co Ltd,Kenz-Cardico 103,88104190,G01,General Medicine,MPD,Klinik Pakar Perubatan,01-G-044,MPD - BILIK E.C.G,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00065,13-217,"Infusion Pumps, Syringe",Terumo Corp,Terufusion STC-527,95070137,I02,In-patient Care Services,W7B,Wad 7b,01-7-065,W7B - WAD 7B,Inactive,Not Functioning,Yes,No,No,1,No,No,No,No,No,No,No,No,No,1
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00066,11-413,"Electrocardiographs, Single-Channel",Suzuken Co Ltd,Kenz-Cardico 103,88124280,O05,Outpatient Services,OPD,Jabatan Pesakit Luar,01-G-251,OPD - BILIK RAWATAN (J),Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00067,12-863,Oxygen Monitors,Puritan Bennett Corp,Puritan Bennett 7820,A275K92,O01,Obstetric & Gynecology,MOT,Dewan Bedah Bersalin,01-1-051,MOT-DEWAN BEDAH BERSALIN,Inactive,Not Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,SBN00068,15-045,"Nebulizers, Nonheated",Pari-Werk Gmbh,Pari Boy,R020A0,I02,In-patient Care Services,W7A,Wad 7a,01-7-005,W7A - WAD 7A,Inactive,Not Functioning,No,,,,,,,,,,,,,
